Summary,Temperature (C),Humidity,Wind Speed (km/h)
Overcast,11.25,0.83,11.3344
Overcast,11.18333333,0.89,11.2056
Overcast,10.69444444,0.95,10.4006
Mostly Cloudy,11.11111111,0.93,12.0106
Mostly Cloudy,11.11111111,0.93,9.2092
Partly Cloudy,12.16666667,0.82,9.9015
Partly Cloudy,12.75555556,0.79,13.8299
Partly Cloudy,13.83888889,0.84,9.0965
Partly Cloudy,16.18333333,0.73,0.644
Mostly Cloudy,17.51666667,0.67,0.6762
Mostly Cloudy,17.38333333,0.67,3.864
Mostly Cloudy,17.36111111,0.71,7.8246
Mostly Cloudy,17.20555556,0.74,15.5848
Mostly Cloudy,15.63333333,0.81,23.6992
Overcast,13.57777778,0.9,20.9622
Foggy,10.91111111,0.86,22.3951
Foggy,8.8,0.99,26.5006
Overcast,8.961111111,0.93,23.2162
Overcast,8.2,0.96,25.4219
Overcast,7.688888889,0.96,28.1267
Overcast,7.766666667,0.96,19.2878
Foggy,8.2,0.96,20.447
Foggy,8.177777778,0.93,27.8691
Mostly Cloudy,7.311111111,0.82,6.7459
Overcast,7.644444444,0.93,14.9086
Overcast,6.622222222,0.93,25.0355
Overcast,6.683333333,0.93,19.8352
Overcast,6.088888889,0.93,28.0945
Overcast,6.066666667,0.93,27.9818
Breezy and Mostly Cloudy,6.144444444,0.93,30.8637
Breezy and Mostly Cloudy,7.133333333,0.8,32.1678
Overcast,7.205555556,0.86,26.5328
Mostly Cloudy,7.566666667,0.84,28.336
Mostly Cloudy,8.9,0.77,29.8333
Mostly Cloudy,9.961111111,0.71,28.4809
Mostly Cloudy,9.888888889,0.71,28.5131
Mostly Cloudy,11.06666667,0.71,25.6956
Overcast,10.11666667,0.76,25.3414
Overcast,11.03888889,0.66,21.413
Overcast,10.65,0.7,17.8549
Overcast,10.05,0.7,15.1984
Mostly Cloudy,9.9,0.66,15.7297
Overcast,8.794444444,0.71,12.3648
Mostly Cloudy,7.827777778,0.72,13.8943
Overcast,7.855555556,0.72,9.8049
Mostly Cloudy,7.316666667,0.75,6.6654
Overcast,7.244444444,0.75,7.1162
Partly Cloudy,5.438888889,0.88,3.7191
Overcast,7.2,0.76,14.4739
Overcast,6.688888889,0.7,20.5275
Overcast,6.211111111,0.73,19.3039
Overcast,6.111111111,0.76,17.4363
Overcast,6.111111111,0.76,20.4148
Overcast,6.172222222,0.76,17.0499
Overcast,7.222222222,0.71,20.5114
Overcast,7.288888889,0.73,17.6456
Overcast,7.405555556,0.72,14.4095
Overcast,7.961111111,0.7,10.7548
Overcast,8.033333333,0.7,4.8622
Overcast,9.077777778,0.65,2.3828
Overcast,9.05,0.62,0.322
Overcast,9.05,0.65,3.2522
Overcast,9.183333333,0.65,3.0107
Overcast,9.072222222,0.7,10.465
Overcast,7.983333333,0.75,7.3416
Overcast,8.072222222,0.75,9.5151
Overcast,7.894444444,0.82,9.9981
Overcast,7.311111111,0.83,13.685
Mostly Cloudy,7.338888889,0.84,11.5437
Mostly Cloudy,6.622222222,0.85,12.719
Partly Cloudy,6.066666667,0.88,12.8961
Partly Cloudy,8.338888889,0.88,0.6923
Mostly Cloudy,5.183333333,0.91,5.5384
Mostly Cloudy,3.722222222,0.94,5.2003
Mostly Cloudy,4.855555556,0.93,5.6189
Foggy,5.211111111,0.92,4.7656
Overcast,6.255555556,0.92,7.9212
Mostly Cloudy,7.794444444,0.87,9.7566
Mostly Cloudy,10.05,0.76,9.6922
Mostly Cloudy,12.2,0.66,14.49
Mostly Cloudy,12.7,0.63,20.3343
Partly Cloudy,13.93333333,0.58,23.5865
Partly Cloudy,15.09444444,0.59,22.2985
Mostly Cloudy,15.15,0.5,14.7154
Partly Cloudy,16.17777778,0.44,14.49
Partly Cloudy,16.25,0.55,14.7154
Partly Cloudy,16.29444444,0.5,19.5937
Partly Cloudy,16.1,0.56,14.8281
Partly Cloudy,12.95555556,0.68,11.9784
Mostly Cloudy,13.85,0.64,11.5598
Mostly Cloudy,12.77777778,0.69,14.2485
Mostly Cloudy,12.15,0.72,11.2539
Mostly Cloudy,10.67777778,0.81,5.7799
Mostly Cloudy,10.44444444,0.83,2.6404
Mostly Cloudy,9.822222222,0.8,5.313
Mostly Cloudy,11.02777778,0.74,11.3827
Mostly Cloudy,7.138888889,0.93,3.6547
Mostly Cloudy,7.622222222,0.89,10.8675
Mostly Cloudy,7.627777778,0.86,6.5205
Mostly Cloudy,7.044444444,0.86,11.3988
Partly Cloudy,8.6,0.84,9.66
Partly Cloudy,9.65,0.84,15.9551
Partly Cloudy,12.10555556,0.72,13.1698
Partly Cloudy,12.77777778,0.71,13.1698
Partly Cloudy,13.81111111,0.65,9.6761
Partly Cloudy,16.01666667,0.48,11.2378
Partly Cloudy,17.12777778,0.47,12.7029
Partly Cloudy,17.14444444,0.43,10.6099
Mostly Cloudy,17.77777778,0.4,7.9534
Mostly Cloudy,17.77777778,0.37,2.5921
Mostly Cloudy,17.80555556,0.43,11.0124
Mostly Cloudy,16.15555556,0.52,9.1931
Mostly Cloudy,14.05,0.63,9.1609
Mostly Cloudy,13.08888889,0.67,9.2736
Mostly Cloudy,12.28888889,0.72,9.4507
Overcast,12.77777778,0.66,11.0768
Overcast,12.72777778,0.67,13.3791
Overcast,12.26666667,0.69,14.1358
Overcast,11.71111111,0.71,11.3183
Partly Cloudy,10.82777778,0.86,9.177
Overcast,12.2,0.59,14.168
Overcast,12.2,0.6,14.2968
Overcast,11.68888889,0.68,13.8299
Overcast,11.20555556,0.77,14.007
Mostly Cloudy,11.13333333,0.77,15.4882
Mostly Cloudy,11.43888889,0.77,13.8782
Mostly Cloudy,13.03333333,0.81,14.4578
Mostly Cloudy,17.24444444,0.62,25.0194
Mostly Cloudy,17.73888889,0.53,27.37
Overcast,17.84444444,0.56,22.218
Mostly Cloudy,18.86111111,0.56,23.5382
Overcast,18.66666667,0.56,19.8996
Overcast,17.82222222,0.56,17.5007
Overcast,17.8,0.59,17.6939
Mostly Cloudy,17.35,0.57,19.5615
Mostly Cloudy,16.06666667,0.67,21.8155
Mostly Cloudy,14.93333333,0.73,17.2753
Mostly Cloudy,13.92222222,0.78,11.7691
Mostly Cloudy,12.75555556,0.84,11.0446
Mostly Cloudy,12.75555556,0.84,11.0607
Mostly Cloudy,12.37222222,0.86,7.2933
Mostly Cloudy,11.18333333,0.93,6.923
Mostly Cloudy,11.66666667,0.9,11.1734
Partly Cloudy,8.977777778,0.95,10.3201
Mostly Cloudy,10.57777778,0.93,11.1734
Mostly Cloudy,10.53333333,0.89,14.007
Mostly Cloudy,10.58888889,0.87,7.2933
Mostly Cloudy,9.983333333,0.89,6.7298
Mostly Cloudy,11.02222222,0.86,7.889
Partly Cloudy,13.53888889,0.75,11.8657
Partly Cloudy,13.88888889,0.68,20.0123
Partly Cloudy,15,0.67,17.5812
Partly Cloudy,17.18333333,0.57,15.9551
Mostly Cloudy,16.2,0.62,16.3093
Mostly Cloudy,17.75,0.56,17.7744
Mostly Cloudy,18.40555556,0.54,19.0785
Partly Cloudy,17.82222222,0.59,17.5973
Partly Cloudy,17.31111111,0.57,20.3343
Partly Cloudy,17.50555556,0.55,13.7172
Mostly Cloudy,17.26666667,0.54,14.3773
Mostly Cloudy,15.13888889,0.61,10.8997
Mostly Cloudy,13.25,0.69,4.7173
Partly Cloudy,12.29444444,0.72,4.669
Partly Cloudy,10.7,0.79,3.5742
Partly Cloudy,9.855555556,0.85,5.7477
Partly Cloudy,9.522222222,0.88,11.27
Partly Cloudy,8.405555556,0.92,3.1234
Mostly Cloudy,13.01111111,0.82,9.6278
Partly Cloudy,7.733333333,0.96,3.4293
Partly Cloudy,6.138888889,0.96,3.3488
Partly Cloudy,6.472222222,0.95,2.9946
Foggy,6.627777778,0.96,3.3005
Clear,8.688888889,0.93,1.4329
Partly Cloudy,11.99444444,0.81,2.415
Partly Cloudy,13.76666667,0.78,4.1538
Partly Cloudy,15.08888889,0.77,7.3738
Partly Cloudy,16.45555556,0.68,7.8085
Partly Cloudy,17.31111111,0.62,7.3738
Partly Cloudy,17.87222222,0.64,8.372
Partly Cloudy,19.03888889,0.47,7.0679
Partly Cloudy,18.97777778,0.51,10.8675
Partly Cloudy,19.00555556,0.55,4.8139
Mostly Cloudy,19.01111111,0.53,4.7978
Mostly Cloudy,17.86666667,0.64,10.9319
Mostly Cloudy,17.26666667,0.62,10.8514
Mostly Cloudy,16.18888889,0.61,5.0876
Mostly Cloudy,14.88333333,0.72,9.177
Mostly Cloudy,14.32777778,0.75,10.9319
Overcast,14.51111111,0.75,6.3756
Overcast,14.37222222,0.75,6.5366
Overcast,14.87777778,0.72,14.2163
Foggy,10.40555556,0.92,3.6064
Overcast,12.82222222,0.83,8.4364
Overcast,12.8,0.85,14.4256
Overcast,12.82777778,0.86,13.8943
Overcast,12.26666667,0.85,15.778
Overcast,12.26666667,0.85,15.5848
Mostly Cloudy,12.18333333,0.82,12.3809
Overcast,12.17222222,0.8,20.3826
Overcast,12.71111111,0.83,22.0892
Mostly Cloudy,15.60555556,0.78,22.3468
Mostly Cloudy,16.02222222,0.78,18.0642
Mostly Cloudy,17.2,0.67,17.6456
Overcast,17.21666667,0.71,14.0875
Mostly Cloudy,17.82777778,0.69,13.4113
Mostly Cloudy,17.82777778,0.69,14.6188
Partly Cloudy,17.73333333,0.69,9.2414
Mostly Cloudy,16.27222222,0.71,23.0713
Overcast,13.16666667,0.93,3.7674
Overcast,13.25555556,0.93,3.1395
Overcast,13.01111111,0.93,10.3362
Mostly Cloudy,12.45555556,0.91,5.796
Mostly Cloudy,12.48888889,0.9,9.8854
Mostly Cloudy,9.555555556,0.8,6.4883
Mostly Cloudy,10.62222222,0.79,14.0231
Partly Cloudy,8.722222222,0.93,4.5724
Mostly Cloudy,10.53333333,0.77,10.7709
Mostly Cloudy,9.444444444,0.83,6.5366
Mostly Cloudy,9.888888889,0.83,6.0858
Mostly Cloudy,10.36666667,0.78,10.7065
Partly Cloudy,8.888888889,0.89,10.4972
Partly Cloudy,9.977777778,0.84,8.0017
Mostly Cloudy,12.2,0.73,2.4633
Mostly Cloudy,13.96111111,0.67,9.3058
Mostly Cloudy,14.94444444,0.67,7.1645
Mostly Cloudy,16.18333333,0.71,11.753
Partly Cloudy,16.36666667,0.61,7.1323
Partly Cloudy,17.37222222,0.57,3.6225
Partly Cloudy,17.67222222,0.51,1.7549
Partly Cloudy,17.72222222,0.53,8.6779
Partly Cloudy,16.23888889,0.61,2.8336
Mostly Cloudy,14.06666667,0.71,9.2414
Partly Cloudy,13.95555556,0.76,7.4221
Partly Cloudy,12.28888889,0.8,3.542
Partly Cloudy,10.02222222,0.86,3.1073
Partly Cloudy,9.377777778,0.86,6.44
Partly Cloudy,9.416666667,0.9,4.6046
Partly Cloudy,11.82777778,0.92,3.0268
Foggy,10.76111111,0.91,5.1681
Mostly Cloudy,12.15555556,0.95,2.8497
Foggy,9.672222222,0.94,5.7155
Foggy,8.15,0.94,6.762
Foggy,10.2,0.95,5.6189
Foggy,10.11666667,0.99,2.254
Foggy,10.16111111,0.99,0.3381
Foggy,11.24444444,0.98,2.7531
Foggy,12.24444444,0.99,2.254
Overcast,13.91111111,0.92,8.0983
Partly Cloudy,15.61666667,0.82,2.2862
Partly Cloudy,15.07222222,0.86,3.2844
Partly Cloudy,15.07222222,0.82,7.5992
Overcast,14.26666667,0.87,10.5616
Mostly Cloudy,16.01666667,0.81,6.6654
Overcast,15.02777778,0.86,7.7119
Overcast,13.94444444,0.89,7.2772
Overcast,12.91666667,0.95,11.4793
Overcast,12.89444444,0.95,5.2808
Overcast,12.4,0.98,2.3506
Clear,12.26666667,0.99,8.05
Mostly Cloudy,12.22222222,0.96,6.1985
Mostly Cloudy,11.25,0.96,2.7692
Mostly Cloudy,11.52777778,0.96,3.1556
Foggy,11.53888889,0.96,5.9892
Foggy,9.438888889,0.96,5.9731
Overcast,11.43888889,0.96,6.279
Overcast,11.39444444,0.96,6.44
Overcast,11.52777778,0.96,6.4239
Foggy,11.95,0.93,4.83
Foggy,11.97222222,1,9.66
Foggy,12.63333333,0.96,7.6636
Overcast,12.75555556,0.96,7.9695
Overcast,13.84444444,0.9,7.9212
Overcast,13.17222222,0.94,10.3845
Mostly Cloudy,15.06666667,0.86,8.1466
Partly Cloudy,17.24444444,0.75,7.1645
Partly Cloudy,16.31666667,0.76,13.3469
Partly Cloudy,17.38333333,0.74,13.6206
Mostly Cloudy,15.27222222,0.76,8.2754
Partly Cloudy,17.45555556,0.72,5.2808
Partly Cloudy,16.22222222,0.77,11.1573
Partly Cloudy,15.08333333,0.82,3.6869
Partly Cloudy,13.99444444,0.88,1.1431
Partly Cloudy,12.17222222,0.92,0.6601
Foggy,11.08888889,0.95,4.8461
Foggy,11.09444444,0.95,3.381
Foggy,9.883333333,0.96,3.3649
Clear,9.355555556,0.96,6.4239
Clear,9.861111111,0.96,3.2361
Foggy,8.272222222,0.99,3.3166
Foggy,8.866666667,0.96,2.6243
Foggy,8.816666667,0.96,3.9445
Foggy,7.155555556,1,1.8515
Foggy,8.85,0.99,3.4776
Foggy,11.17777778,0.93,2.8819
Mostly Cloudy,12.38888889,0.98,3.4293
Mostly Cloudy,14.14444444,0.88,4.8783
Partly Cloudy,17.1,0.72,3.059
Partly Cloudy,18.93888889,0.64,4.2021
Partly Cloudy,17.91666667,0.68,4.0894
Partly Cloudy,19.98333333,0.53,1.2236
Partly Cloudy,20.07222222,0.62,9.0643
Partly Cloudy,20.07222222,0.56,9.4829
Partly Cloudy,20.08333333,0.58,7.4865
Partly Cloudy,19.08888889,0.63,9.1287
Partly Cloudy,17.45,0.62,7.567
Partly Cloudy,15.56666667,0.74,0.5152
Clear,12.49444444,0.91,3.9445
Clear,12.24444444,0.89,1.5295
Clear,11.41666667,0.92,2.9624
Clear,10.55555556,0.95,6.0375
Clear,10.46666667,0.93,3.0751
Partly Cloudy,10.25,0.95,5.2969
Clear,9.355555556,0.96,1.5295
Foggy,8.311111111,0.96,3.22
Foggy,8.811111111,0.96,3.3971
Foggy,8.733333333,0.93,6.3434
Partly Cloudy,11.93333333,0.93,11.27
Partly Cloudy,14.51666667,0.84,1.7066
Partly Cloudy,18.73333333,0.68,3.22
Partly Cloudy,20.02777778,0.6,7.245
Partly Cloudy,21.03888889,0.55,6.4883
Partly Cloudy,20.73888889,0.46,6.5044
Partly Cloudy,22.31666667,0.48,7.5348
Partly Cloudy,22.11111111,0.5,6.4561
Partly Cloudy,22.73333333,0.38,1.0143
Partly Cloudy,22.77777778,0.37,5.1842
Partly Cloudy,21.21666667,0.41,7.2772
Partly Cloudy,20.18333333,0.45,1.4812
Partly Cloudy,18.01111111,0.68,0.322
Partly Cloudy,17.42222222,0.65,0.5313
Partly Cloudy,13.96111111,0.82,0
Partly Cloudy,13.28888889,0.89,2.8819
Partly Cloudy,12.32222222,0.89,2.4794
Partly Cloudy,11.11666667,0.95,3.1717
Partly Cloudy,10.53333333,0.95,11.27
Clear,12.38333333,0.8,4.6207
Partly Cloudy,9.861111111,0.96,3.0751
Partly Cloudy,8.872222222,0.95,1.5295
Partly Cloudy,8.672222222,0.94,3.6386
Foggy,7.688888889,1,0
Clear,10.91111111,0.99,1.61
Clear,14.83888889,0.82,2.6565
Clear,18.8,0.65,1.5295
Clear,21.09444444,0.49,4.8783
Partly Cloudy,22.02777778,0.49,4.2826
Partly Cloudy,22.82777778,0.47,3.6225
Partly Cloudy,22.91666667,0.37,4.5563
Partly Cloudy,23.91666667,0.37,6.2951
Partly Cloudy,23.91111111,0.4,2.5599
Partly Cloudy,23.93333333,0.37,4.347
Partly Cloudy,23.91666667,0.32,1.1753
Partly Cloudy,22.82222222,0.44,3.1234
Partly Cloudy,21.22777778,0.48,0.4025
Partly Cloudy,19.07777778,0.51,2.6887
Partly Cloudy,17.06111111,0.63,1.5778
Clear,14.90555556,0.72,3.7513
Clear,13.08333333,0.87,3.4132
Clear,12.71111111,0.89,3.2522
Clear,12.12777778,0.89,3.1717
Clear,11.81111111,0.84,4.991
Clear,12.01666667,0.8,6.2629
Clear,12.04444444,0.8,6.4239
Partly Cloudy,10.62777778,0.86,9.7083
Clear,9.911111111,0.99,9.1448
Mostly Cloudy,12.55555556,0.9,7.7441
Partly Cloudy,15.00555556,0.78,8.7584
Partly Cloudy,17.33888889,0.74,12.1877
Partly Cloudy,19.1,0.67,12.6224
Partly Cloudy,21.26111111,0.57,9.9176
Partly Cloudy,22.41111111,0.54,11.4471
Mostly Cloudy,22.93888889,0.5,8.5491
Mostly Cloudy,23.92777778,0.47,11.3022
Mostly Cloudy,23.96111111,0.47,8.3076
Mostly Cloudy,23.96111111,0.38,8.5813
Mostly Cloudy,23.11111111,0.42,10.7065
Mostly Cloudy,22.82222222,0.44,12.4936
Mostly Cloudy,21.11111111,0.47,5.2164
Mostly Cloudy,18.18888889,0.58,4.8622
Mostly Cloudy,16.01666667,0.72,4.6046
Partly Cloudy,15.46666667,0.72,6.44
Partly Cloudy,14.60555556,0.76,6.7459
Clear,13.31111111,0.82,3.542
Clear,12.73333333,0.83,3.0751
Partly Cloudy,13.78888889,0.77,6.0858
Partly Cloudy,10.57777778,0.88,6.44
Partly Cloudy,10.48333333,0.92,3.22
Partly Cloudy,10.28888889,0.91,3.7513
Clear,9.972222222,0.92,1.5617
Mostly Cloudy,13.63888889,0.9,2.7048
Mostly Cloudy,16.73888889,0.74,7.245
Mostly Cloudy,18.83888889,0.65,3.4132
Mostly Cloudy,21.16111111,0.59,4.6046
Mostly Cloudy,22.58888889,0.53,4.4275
Mostly Cloudy,22.89444444,0.48,7.6636
Mostly Cloudy,24.00555556,0.47,9.66
Mostly Cloudy,24.00555556,0.35,8.0017
Mostly Cloudy,23.97777778,0.44,9.2897
Mostly Cloudy,25.04444444,0.32,3.5903
Mostly Cloudy,24.07777778,0.35,4.9588
Mostly Cloudy,22.38333333,0.45,9.4829
Mostly Cloudy,21.20555556,0.52,3.6869
Mostly Cloudy,18.26111111,0.62,6.2146
Mostly Cloudy,17.2,0.67,14.49
Partly Cloudy,15.99444444,0.75,3.1073
Clear,15.96111111,0.79,12.2843
Mostly Cloudy,15.44444444,0.72,13.846
Partly Cloudy,14.37222222,0.75,10.9963
Mostly Cloudy,13.60555556,0.9,9.982
Partly Cloudy,12.82222222,0.82,6.2468
Partly Cloudy,12.75,0.83,3.3488
Partly Cloudy,11.41666667,0.92,6.2307
Partly Cloudy,12.33333333,0.86,2.4633
Mostly Cloudy,14.90555556,0.78,10.2879
Mostly Cloudy,15.89444444,0.74,10.2879
Mostly Cloudy,17.22777778,0.72,12.0589
Mostly Cloudy,17.82777778,0.73,7.4704
Mostly Cloudy,17.91666667,0.72,10.0947
Mostly Cloudy,19.05555556,0.67,9.0965
Mostly Cloudy,20.14444444,0.67,7.5187
Mostly Cloudy,20.26111111,0.62,3.8962
Mostly Cloudy,21.20555556,0.62,4.6368
Overcast,21.25555556,0.67,4.8944
Overcast,20.23333333,0.66,7.2128
Overcast,19.07777778,0.71,7.6475
Mostly Cloudy,17.94444444,0.77,10.5777
Mostly Cloudy,15.49444444,0.82,20.608
Mostly Cloudy,14.14444444,0.89,8.4364
Mostly Cloudy,14.53888889,0.86,11.0768
Mostly Cloudy,14.13888889,0.86,3.6708
Mostly Cloudy,13.4,0.9,3.5098
Mostly Cloudy,13.42777778,0.9,3.3488
Partly Cloudy,11.58888889,0.74,5.474
Mostly Cloudy,14.42222222,0.83,10.7709
Mostly Cloudy,13.91666667,0.86,10.6904
Mostly Cloudy,13.4,0.9,10.3201
Overcast,13.86666667,0.9,7.9373
Mostly Cloudy,14.90555556,0.84,11.27
Mostly Cloudy,15.93333333,0.74,10.6743
Mostly Cloudy,17.12777778,0.65,19.8996
Mostly Cloudy,18.75,0.58,19.4166
Mostly Cloudy,18.96111111,0.6,17.0499
Mostly Cloudy,19.99444444,0.54,16.8728
Mostly Cloudy,21.11111111,0.5,17.3397
Mostly Cloudy,21.09444444,0.46,21.9604
Partly Cloudy,21.17777778,0.43,19.8191
Partly Cloudy,21.22777778,0.41,16.4703
Partly Cloudy,20.1,0.45,13.7977
Mostly Cloudy,19.02777778,0.51,9.7888
Mostly Cloudy,17.85,0.59,14.0553
Mostly Cloudy,16.26111111,0.66,11.2861
Partly Cloudy,14.98333333,0.72,13.9426
Mostly Cloudy,14.46666667,0.65,11.0285
Partly Cloudy,13.94444444,0.6,10.8031
Partly Cloudy,12.31666667,0.65,11.1734
Partly Cloudy,11.76111111,0.66,10.8997
Mostly Cloudy,10.82777778,0.62,13.1859
Partly Cloudy,10.13888889,0.73,10.948
Partly Cloudy,10.62777778,0.71,11.109
Partly Cloudy,10.60555556,0.69,13.524
Mostly Cloudy,10.07222222,0.71,15.5848
Mostly Cloudy,11.16111111,0.71,21.5257
Partly Cloudy,12.88888889,0.67,22.9586
Clear,15.05,0.6,26.4845
Mostly Cloudy,15.16111111,0.59,26.726
Mostly Cloudy,16.27222222,0.56,23.3611
Mostly Cloudy,17.8,0.46,28.0623
Mostly Cloudy,17.93888889,0.46,27.9013
Mostly Cloudy,18.85555556,0.41,25.7439
Mostly Cloudy,17.98888889,0.43,26.3557
Mostly Cloudy,17.96111111,0.51,25.0516
Mostly Cloudy,17.36111111,0.47,25.5668
Mostly Cloudy,16.25,0.52,23.3289
Mostly Cloudy,14.12222222,0.47,20.0284
Mostly Cloudy,12.95,0.55,14.9569
Mostly Cloudy,12.24444444,0.52,22.9425
Mostly Cloudy,11.68888889,0.57,19.6581
Mostly Cloudy,11.15555556,0.59,20.7368
Partly Cloudy,9.216666667,0.9,5.8443
Partly Cloudy,8.683333333,0.9,5.2486
Mostly Cloudy,9.188888889,0.77,12.3165
Partly Cloudy,8.594444444,0.93,6.2951
Partly Cloudy,7.505555556,0.93,1.8515
Partly Cloudy,6.216666667,0.95,9.6761
Foggy,5.855555556,0.93,0.4347
Clear,5.933333333,1,0.1449
Clear,10.40555556,1,0.7245
Partly Cloudy,12.54444444,0.78,7.2611
Partly Cloudy,13.86111111,0.77,3.8801
Partly Cloudy,15.97777778,0.63,4.669
Partly Cloudy,17.26666667,0.57,5.474
Partly Cloudy,17.84444444,0.5,2.6726
Partly Cloudy,16.42777778,0.54,3.9928
Partly Cloudy,17.77777778,0.46,1.6744
Partly Cloudy,17.84444444,0.45,4.4275
Partly Cloudy,17.3,0.5,5.6672
Partly Cloudy,15.18333333,0.65,12.7351
Mostly Cloudy,13.00555556,0.7,3.7191
Mostly Cloudy,12.69444444,0.74,7.9373
Partly Cloudy,12.19444444,0.72,9.7083
Partly Cloudy,12.08333333,0.71,16.9855
Partly Cloudy,10.61666667,0.74,10.8514
Mostly Cloudy,11.6,0.57,16.9855
Mostly Cloudy,11.02222222,0.6,16.9211
Mostly Cloudy,11.88888889,0.6,15.939
Mostly Cloudy,10.41666667,0.64,16.6474
Mostly Cloudy,10.3,0.67,13.3952
Mostly Cloudy,9.483333333,0.72,13.3791
Mostly Cloudy,9.772222222,0.68,12.8317
Mostly Cloudy,10.93333333,0.67,11.1412
Mostly Cloudy,11.65555556,0.66,7.1806
Mostly Cloudy,13.93888889,0.55,21.5579
Mostly Cloudy,15.02777778,0.54,17.3075
Mostly Cloudy,16.03888889,0.47,24.5203
Mostly Cloudy,15.22777778,0.51,20.3665
Mostly Cloudy,16.20555556,0.44,14.4417
Partly Cloudy,17.3,0.43,18.0159
Partly Cloudy,17.77777778,0.43,15.8263
Partly Cloudy,17.8,0.38,17.2431
Partly Cloudy,17.26111111,0.39,16.8728
Mostly Cloudy,17.2,0.38,15.3111
Mostly Cloudy,15.02222222,0.45,20.9139
Mostly Cloudy,13.92777778,0.47,13.3469
Mostly Cloudy,12.36666667,0.57,9.4346
Mostly Cloudy,12.29444444,0.59,6.7781
Mostly Cloudy,12.78888889,0.56,14.4095
Partly Cloudy,9.533333333,0.76,7.084
Mostly Cloudy,9.972222222,0.71,14.4256
Partly Cloudy,4.911111111,0.91,1.0143
Partly Cloudy,7.916666667,0.78,11.6725
Partly Cloudy,7.383333333,0.82,14.6188
Mostly Cloudy,7.972222222,0.82,11.8496
Overcast,8.816666667,0.84,14.49
Mostly Cloudy,8.794444444,0.84,23.3289
Overcast,7.888888889,0.89,26.8387
Overcast,7.8,0.96,22.7815
Overcast,7.822222222,0.95,14.2163
Overcast,7.944444444,0.95,9.7727
Overcast,8.077777778,0.94,15.778
Overcast,10.22777778,0.81,11.3183
Overcast,11.36111111,0.74,4.2021
Mostly Cloudy,12.45,0.7,1.3041
Partly Cloudy,12.91666667,0.67,3.6869
Partly Cloudy,12.55,0.62,6.4078
Partly Cloudy,12.38333333,0.69,9.8049
Partly Cloudy,10.22777778,0.75,8.4042
Partly Cloudy,9.227777778,0.78,9.5151
Clear,7.827777778,0.87,7.3738
Clear,6.677777778,0.91,5.796
Clear,6.122222222,0.91,6.279
Partly Cloudy,5.327777778,0.95,5.8926
Clear,4.355555556,0.95,10.9158
Mostly Cloudy,9.272222222,0.89,3.6386
Partly Cloudy,4.261111111,0.92,6.0697
Partly Cloudy,3.216666667,0.92,6.0697
Partly Cloudy,3.905555556,0.92,5.8926
Foggy,2.711111111,0.96,7.9695
Foggy,3.816666667,1,5.2808
Clear,6.883333333,0.93,9.1126
Mostly Cloudy,8.938888889,0.88,15.6814
